home_team,gf,ga,sf,sa,win_prob,goal_diff,shot_ratio,meta_cluster,meta_label
Arsenal,1.9102564102564101,0.7794871794871795,14.451282051282051,7.364102564102565,0.6620923076923076,1.1307692307692307,0.6624353549600376,0,The Elites (Title Contenders)
Aston Villa,1.4423076923076923,1.228021978021978,12.717032967032967,12.843406593406593,0.4171510989010989,0.2142857142857142,0.4975279449699054,2,Solid Competitors (European Race)
Bournemouth,1.521978021978022,1.5741758241758244,13.791208791208792,12.695054945054945,0.3773434065934066,-0.052197802197802456,0.520692874183176,2,Chaos/High Risk (Relegation Risk)
Brentford,1.5631868131868132,1.3626373626373627,10.593406593406593,12.381868131868131,0.3637472527472527,0.2005494505494505,0.4610785603252422,2,Solid Competitors (European Race)
Brighton,1.3653846153846154,1.228021978021978,12.813186813186814,12.445054945054945,0.3991620879120879,0.13736263736263732,0.5072873613226017,2,Solid Competitors (European Race)
Burnley,1.1071428571428572,2.0274725274725274,9.010989010989011,16.667582417582416,0.18689285714285714,-0.9203296703296702,0.35091473199957207,1,Chaos/High Risk (Relegation Risk)
Chelsea,1.7774725274725274,1.2225274725274726,13.398351648351648,10.876373626373626,0.5292225274725275,0.5549450549450547,0.551946582163875,3,The Elites (Title Contenders)
Crystal Palace,1.1785714285714286,1.260989010989011,11.862637362637361,11.343406593406593,0.38281593406593406,-0.08241758241758235,0.5111874038120042,2,Stable Mid-Table
Everton,1.1868131868131868,1.1785714285714286,11.167582417582416,13.09065934065934,0.34679945054945055,0.008241758241758212,0.4603624009060023,2,Solid Competitors (European Race)
Fulham,1.3983516483516483,1.5302197802197801,12.296703296703297,11.928571428571429,0.34504395604395605,-0.13186813186813184,0.5075980948060785,2,Chaos/High Risk (Relegation Risk)
Leeds,1.3269230769230769,1.598901098901099,12.502747252747252,12.211538461538462,0.3096758241758242,-0.2719780219780221,0.5058915073365939,2,Chaos/High Risk (Relegation Risk)
Liverpool,1.5247252747252746,1.2884615384615383,16.10164835164835,10.873626373626374,0.5798653846153846,0.2362637362637363,0.5969039617068949,3,The Elites (Title Contenders)
Man City,2.0164835164835164,0.9368131868131868,14.51923076923077,10.076923076923077,0.630804945054945,1.0796703296703296,0.5903049257232212,0,The Elites (Title Contenders)
Man United,1.85989010989011,1.3983516483516483,15.97252747252747,10.848901098901099,0.4884642857142857,0.4615384615384617,0.5955136740755915,3,The Elites (Title Contenders)
Newcastle,1.4670329670329672,1.4807692307692308,13.280219780219781,11.969780219780219,0.47648626373626374,-0.013736263736263687,0.525949298226526,2,The Elites (Title Contenders)
Nott'm Forest,0.8846153846153846,1.5137362637362637,13.173076923076923,13.12912087912088,0.3348461538461539,-0.6291208791208791,0.5008355964069354,1,Chaos/High Risk (Relegation Risk)
Sunderland,1.0164835164835164,1.1785714285714286,9.532967032967033,15.013736263736263,0.2580879120879121,-0.16208791208791218,0.3883603805260213,1,Stable Mid-Table
Tottenham,1.2664835164835164,1.7005494505494507,10.711538461538462,12.961538461538462,0.3727362637362638,-0.4340659340659343,0.4524776604386678,1,Chaos/High Risk (Relegation Risk)
West Ham,1.2582417582417582,1.7032967032967032,10.395604395604394,14.89010989010989,0.2701236263736264,-0.44505494505494503,0.4111255975662755,1,Chaos/High Risk (Relegation Risk)
Wolves,0.7589743589743589,1.6692307692307693,9.194871794871794,14.061538461538461,0.22372307692307694,-0.9102564102564104,0.3953693495038589,1,Chaos/High Risk (Relegation Risk)
