home_team,goals,shots,sot,win_prob,efficiency,cluster
Arsenal,1.9102564102564101,14.451282051282051,4.9282051282051285,0.6620923076923076,0.3876170655567117,0
Aston Villa,1.4423076923076923,12.717032967032967,4.475274725274725,0.4171510989010989,0.32228360957642727,0
Bournemouth,1.521978021978022,13.791208791208792,4.980769230769231,0.3773434065934066,0.3055708769994484,0
Brentford,1.5631868131868132,10.593406593406593,4.153846153846153,0.3637472527472527,0.3763227513227514,1
Brighton,1.3653846153846154,12.813186813186814,4.395604395604396,0.3991620879120879,0.310625,0
Burnley,1.1071428571428572,9.010989010989011,2.928571428571429,0.18689285714285714,0.3780487804878049,1
Chelsea,1.7774725274725274,13.398351648351648,4.733516483516484,0.5292225274725275,0.375507835171213,0
Crystal Palace,1.1785714285714286,11.862637362637361,3.7527472527472527,0.38281593406593406,0.3140556368960469,1
Everton,1.1868131868131868,11.167582417582416,3.5,0.34679945054945055,0.3390894819466248,1
Fulham,1.3983516483516483,12.296703296703297,3.78021978021978,0.34504395604395605,0.3699127906976744,1
Leeds,1.3269230769230769,12.502747252747252,4.024725274725275,0.3096758241758242,0.3296928327645051,1
Liverpool,1.5247252747252746,16.10164835164835,4.357142857142858,0.5798653846153846,0.34993694829760397,0
Man City,2.0164835164835164,14.51923076923077,5.252747252747253,0.630804945054945,0.38389121338912136,0
Man United,1.85989010989011,15.97252747252747,5.8489010989010985,0.4884642857142857,0.3179896665100987,0
Newcastle,1.4670329670329672,13.280219780219781,4.813186813186813,0.47648626373626374,0.30479452054794526,0
Nott'm Forest,0.8846153846153846,13.173076923076923,3.9945054945054945,0.3348461538461539,0.22145804676753783,2
Sunderland,1.0164835164835164,9.532967032967033,3.1565934065934065,0.2580879120879121,0.32201914708442125,1
Tottenham,1.2664835164835164,10.711538461538462,3.585164835164835,0.3727362637362638,0.35325670498084294,1
West Ham,1.2582417582417582,10.395604395604394,3.4835164835164836,0.2701236263736264,0.361198738170347,1
Wolves,0.7589743589743589,9.194871794871794,3.305128205128205,0.22372307692307694,0.22963537626066718,2
