web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Wharton,Crystal Palace,MID,3,0.05,0.25,106.6,537.3,147.0,379.6
Gusto,Chelsea,DEF,2,0.08,0.1,82.8,308.0,168.0,352.6
Konsa,Aston Villa,DEF,2,0.04,0.02,69.6,87.7,104.0,499.6
Evanilson,Bournemouth,FWD,0,0.35,0.05,130.1,314.8,693.0,296.0
A.Becker,Liverpool,GKP,2,0.0,0.0,42.8,0.1,0.0,429.0
N.Williams,Nott'm Forest,DEF,3,0.06,0.1,124.8,408.3,258.0,583.0
Romero,Spurs,DEF,2,0.07,0.06,86.0,110.8,206.0,543.2
Struijk,Leeds,DEF,2,0.1,0.02,90.5,130.0,218.0,556.8
Gordon,Newcastle,MID,0,0.45,0.18,121.7,386.4,479.0,355.6
Vicario,Spurs,GKP,2,0.0,0.0,65.4,0.1,0.0,651.6
Richarlison,Spurs,FWD,0,0.39,0.08,112.7,173.0,533.0,423.2
Woltemade,Newcastle,FWD,0,0.35,0.04,92.6,185.2,385.0,366.8
Milenković,Nott'm Forest,DEF,2,0.03,0.01,65.9,38.6,104.0,513.8
Hume,Sunderland,DEF,2,0.06,0.04,85.0,281.4,183.0,394.6
Reijnders,Man City,MID,3,0.24,0.14,107.3,346.0,394.0,341.4
Dúbravka,Burnley,GKP,2,0.0,0.0,82.7,0.0,0.0,825.2
Damsgaard,Brentford,MID,3,0.11,0.24,119.1,527.0,249.0,414.0
Mateta,Crystal Palace,FWD,0,0.56,0.06,119.4,119.7,664.0,411.8
Leno,Fulham,GKP,2,0.0,0.0,60.4,0.0,0.0,605.4
J.Gomes,Wolves,MID,2,0.05,0.05,82.7,286.9,150.0,385.0
F.Kadıoğlu,Brighton,DEF,2,0.06,0.09,90.8,345.6,181.0,378.2
Ayari,Brighton,MID,1,0.13,0.06,73.4,215.1,206.0,311.4
Hill,Bournemouth,DEF,2,0.04,0.07,58.7,95.2,85.0,404.2
Van den Berg,Brentford,DEF,2,0.12,0.02,79.3,57.2,240.0,495.0
Gomez,Brighton,MID,0,0.24,0.07,107.3,296.4,369.0,406.0
