web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Savinho,Man City,MID,1,0.28,0.19,45.2,138.9,232.0,81.2
Heaven,Man Utd,DEF,1,0.05,0.02,22.9,27.2,26.0,175.6
Willock,Newcastle,MID,1,0.11,0.08,32.0,126.8,108.0,86.4
Alcaraz,Everton,MID,1,0.14,0.06,38.4,144.5,156.0,83.0
Sancho,Aston Villa,MID,1,0.08,0.21,52.9,248.3,176.0,102.4
Gittens,Chelsea,MID,1,0.15,0.17,31.3,130.4,91.0,93.0
Wood,Nott'm Forest,FWD,1,0.47,0.02,29.8,49.6,179.0,77.6
Branthwaite,Everton,DEF,1,0.05,0.02,22.7,31.6,74.0,121.2
Ward-Prowse,Burnley,MID,1,0.02,0.17,40.1,263.0,6.0,132.8
Muniz,Fulham,FWD,1,0.24,0.01,29.3,55.4,166.0,82.4
Agbadou,Wolves,DEF,1,0.05,0.03,46.4,76.0,75.0,312.2
Lindelöf,Aston Villa,DEF,1,0.0,0.01,16.0,27.5,8.0,123.8
Scarles,West Ham,DEF,1,0.02,0.04,23.2,71.7,22.0,138.2
Johnstone,Wolves,GKP,1,0.0,0.0,30.8,0.1,0.0,308.0
Ramsdale,Newcastle,GKP,1,0.0,0.0,15.4,10.0,0.0,143.4
Worrall,Burnley,DEF,1,0.01,0.0,16.8,1.5,19.0,145.6
Disasi,West Ham,DEF,1,0.12,0.0,15.0,13.1,53.0,83.8
Lucas Pires,Burnley,DEF,1,0.03,0.1,47.3,231.5,62.0,181.2
Armstrong,Everton,MID,1,0.14,0.04,20.5,66.6,78.0,58.6
Gallagher,Spurs,MID,1,0.09,0.07,27.9,107.2,86.0,85.8
Rigg,Sunderland,MID,1,0.08,0.07,11.7,61.7,29.0,26.8
Clyne,Crystal Palace,DEF,1,0.08,0.11,16.6,53.5,33.0,80.6
Dragusin,Spurs,DEF,1,0.05,0.0,12.9,2.7,27.0,99.2
Udogie,Spurs,DEF,1,0.02,0.06,34.9,122.3,82.0,144.0
Armstrong,Wolves,FWD,1,0.03,0.11,13.4,60.8,13.0,59.4
Diop,Fulham,DEF,1,0.0,0.01,13.6,5.7,12.0,118.0
Bissouma,Spurs,MID,1,0.07,0.02,12.6,18.9,23.0,83.8
Doherty,Wolves,DEF,1,0.01,0.02,18.6,50.8,18.0,116.2
Bayindir,Man Utd,GKP,1,0.0,0.01,12.8,10.0,0.0,118.4
Hato,Chelsea,DEF,1,0.05,0.07,19.1,68.9,24.0,98.0
B.Badiashile,Chelsea,DEF,1,0.0,0.01,11.4,7.9,2.0,102.8
