id,first_name,second_name,web_name,team,team_short,position,price,status,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,xG,xA,xGI,xG_per90,xA_per90,influence,creativity,threat,ict_index,form,points_per_game,selected_by_percent,bonus,bps,transfers_in,transfers_out,chance_of_playing_next_round,news,dbscan_cluster,is_outlier,pca1,pca2
430,Erling,Haaland,Haaland,Man City,MCI,FWD,14.6,a,197,2413,28,22,7,10,27,1,0,0,21.06,1.94,23.0,0.79,0.07,977.0,263.7,1217.0,245.9,2.5,6.8,58.6,35,786,6901750,3106293,100.0,,-1,True,7.2942047391620335,3.6369855591182714
82,Antoine,Semenyo,Semenyo,Man City,MCI,MID,8.3,a,174,2590,29,15,6,8,47,6,0,0,9.93,2.33,12.26,0.35,0.08,797.0,495.0,854.0,214.5,5.2,6.0,56.2,17,569,11948832,6186420,100.0,,-1,True,5.262582033893809,0.6170072750088199
449,Bruno,Borges Fernandes,B.Fernandes,Man Utd,MUN,MID,10.1,a,174,2345,27,7,16,4,37,3,0,0,9.19,8.78,17.97,0.35,0.34,921.4,1335.0,437.0,269.6,7.8,6.4,41.9,31,758,7987760,5461339,100.0,,-1,True,8.344177295972669,-3.045279730485799
249,João Pedro,Junqueira de Jesus,João Pedro,Chelsea,CHE,FWD,7.7,a,162,2230,26,14,9,10,24,4,0,0,13.41,1.74,15.15,0.54,0.07,715.4,421.1,795.0,192.7,7.5,5.4,49.6,28,659,8187876,8597171,,,-1,True,4.950273860819463,1.8801032061908551
136,Igor Thiago,Nascimento Rodrigues,Thiago,Brentford,BRE,FWD,7.2,a,143,2472,28,18,1,7,38,6,0,0,15.64,1.62,17.26,0.57,0.06,788.2,275.2,936.0,199.7,2.5,4.9,35.5,19,583,8942510,4676313,100.0,,-1,True,5.180265396285838,2.4568189404207508
72,Marcos,Senesi Barón,Senesi,Bournemouth,BOU,DEF,5.0,a,136,2568,29,0,4,9,45,8,0,0,1.38,4.06,5.44,0.05,0.14,899.4,297.3,176.0,137.5,7.5,4.7,18.8,11,438,5112824,3066346,100.0,,-1,True,1.9012050966420437,-2.193922965215747
417,Rayan,Cherki,Cherki,Man City,MCI,MID,6.4,a,100,1297,14,3,9,6,13,1,0,0,2.55,6.88,9.43,0.18,0.48,440.4,709.0,365.0,151.7,2.5,4.0,7.4,12,440,2737384,2814348,100.0,,-1,True,4.7289029774185165,-1.9517210705457522
