Algoritmo,MAE,RMSE,R2
Ridge,0.7860838642726738,0.9361810956351008,-0.018132107361453986
Linear Regression,0.7867303212612567,0.9372202925196814,-0.02039369318348605
Random Forest Regressor,0.789117581054317,0.939442536766466,-0.02523834356981336
