Algoritmo,MAE,RMSE,R2
Ridge,0.7090250897384088,0.8749293314507091,0.06021041458028653
Linear Regression,0.7096920122914371,0.8750917388805016,0.059861488166752075
Random Forest Regressor,0.7517536159690558,0.9618064544478222,-0.13569064888308047
