Modelo,ROC-AUC,Recall,Accuracy,Log-Loss
XGBoost,0.7971716405691189,0.6033057851239669,0.8583333333333333,0.43937402267098913
Logistic Regression (Baseline),0.793720214755384,0.6115702479338843,0.8490740740740741,0.47677287551545017
Random Forest,0.7931083515025121,0.512396694214876,0.8796296296296297,0.3503089996985374
