Modelo,CV Accuracy,Test Accuracy,F1 Macro (Test)
XGBoost,0.5459259259259259,0.5454545454545454,0.4133644133644134
Random Forest,0.5167003367003367,0.5818181818181818,0.47134502923976607
Logistic Regression (Baseline),0.5094276094276095,0.5818181818181818,0.47001490654741424
